cohort_id,database_id,period_begin,period_end,series_type,calendar_interval,gender,age_group,records,subjects,person_days,person_days_in,records_start,subjects_start,subjects_start_in,records_end,subjects_end,subjects_end_in
135,-520511347,2007-05-01,2007-05-31,T2,m,MALE,20-29,-5,-5,62,0,0,0,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,FEMALE,40-49,30,30,847,0,5,5,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,MALE,60-69,98,98,2945,0,7,7,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,MALE,40-49,80,80,2209,0,18,18,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,FEMALE,20-29,-5,-5,93,0,0,0,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,NULL,NA,559,559,15492,0,78,78,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,MALE,NA,353,353,9787,0,48,48,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,FEMALE,NA,206,206,5705,0,30,30,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,NULL,20-29,6,6,165,0,-5,-5,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,NULL,30-39,49,49,1392,0,-5,-5,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,NULL,50-59,167,167,4596,0,24,24,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,NULL,40-49,131,131,3525,0,21,21,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,NULL,60-69,206,206,5814,0,28,28,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,MALE,60-69,112,112,3176,0,14,14,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,MALE,20-29,-5,-5,60,0,0,0,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,FEMALE,40-49,37,37,977,0,7,7,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,MALE,50-59,113,113,3096,0,17,17,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,FEMALE,30-39,17,17,485,0,-5,-5,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,MALE,30-39,32,32,907,0,-5,-5,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,MALE,40-49,94,94,2548,0,14,14,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,FEMALE,60-69,94,94,2638,0,14,14,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,FEMALE,50-59,54,54,1500,0,7,7,0,0,0,0
135,-520511347,2007-06-01,2007-06-30,T2,m,FEMALE,20-29,-5,-5,105,0,-5,-5,0,0,0,0
135,-520511347,2007-07-01,2007-07-31,T2,m,NULL,NA,615,615,18150,0,56,56,0,0,0,0
135,-520511347,2007-07-01,2007-07-31,T2,m,MALE,NA,382,382,11380,0,29,29,0,0,0,0
135,-520511347,2007-07-01,2007-07-31,T2,m,FEMALE,NA,233,233,6770,0,27,27,0,0,0,0
135,-520511347,2007-07-01,2007-07-31,T2,m,NULL,20-29,9,9,240,0,-5,-5,0,0,0,0
135,-520511347,2007-07-01,2007-07-31,T2,m,NULL,50-59,183,183,5447,0,16,16,0,0,0,0
135,-520511347,2007-07-01,2007-07-31,T2,m,NULL,60-69,227,227,6676,0,21,21,0,0,0,0
135,-520511347,2007-07-01,2007-07-31,T2,m,NULL,40-49,139,139,4164,0,8,8,0,0,0,0
135,-520511347,2007-07-01,2007-07-31,T2,m,NULL,30-39,57,57,1623,0,8,8,0,0,0,0
135,-520511347,2007-07-01,2007-07-31,T2,m,MALE,20-29,-5,-5,101,0,-5,-5,0,0,0,0
135,-520511347,2007-07-01,2007-07-31,T2,m,MALE,40-49,98,98,2965,0,-5,-5,0,0,0,0
