cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
0,1829.3524989999999,No matching concept,30-39,,0,144,449523062
0,1011.742643,No matching concept,40-49,,0,144,449523062
0,872.856947,No matching concept,50-59,,0,144,449523062
0,587.734429,No matching concept,60-69,,0,144,449523062
0,216.481861,No matching concept,70-79,,0,144,449523062
0,11.737168,No matching concept,80-89,,0,144,449523062
0,21393548.487336,,,2015,0,144,449523062
556,22618608.043803,,,2016,0.02458153034542423,144,449523062
539,16501438.800823,,,2017,0.03266381838007469,144,449523062
468,11471783.274467,,,2018,0.04079574978038836,144,449523062
505,10704037.292265,,,2019,0.047178460445473726,144,449523062
455,9020745.207392,,,2020,0.050439291825596935,144,449523062
509,8552303.014373,,,2021,0.05951613257207732,144,449523062
531,8326810.800822,,,2022,0.06376991295966292,144,449523062
231,3694039.145791,,,2023,0.06253317598520906,144,449523062
0,2827731.249828,,0-9,2015,0,144,449523062
0,2964707.0882949997,,0-9,2016,0,144,449523062
0,1729967.786447,,0-9,2017,0,144,449523062
0,1040659.3785069999,,0-9,2018,0,144,449523062
0,926649.864477,,0-9,2019,0,144,449523062
0,722350.981519,,0-9,2020,0,144,449523062
0,662217.5468860001,,0-9,2021,0,144,449523062
0,618976.15332,,0-9,2022,0,144,449523062
0,240383.698836,,0-9,2023,0,144,449523062
0,3076309.804243,,10-19,2015,0,144,449523062
0,3250248.394251,,10-19,2016,0,144,449523062
0,2071307.63039,,10-19,2017,0,144,449523062
0,1298918.026009,,10-19,2018,0,144,449523062
-5,1160399.6112250001,,10-19,2019,-0.004308860457753554,144,449523062
0,896472.26831,,10-19,2020,0,144,449523062
0,806503.865845,,10-19,2021,0,144,449523062
-5,747328.594113,,10-19,2022,-0.006690497378779506,144,449523062
0,298923.86037,,10-19,2023,0,144,449523062
0,2914633.325119,,20-29,2015,0,144,449523062
5,3147115.567419,,20-29,2016,0.0015887564002298716,144,449523062
-5,2228774.8282,,20-29,2017,-0.0022433849919411076,144,449523062
-5,1500691.490759,,20-29,2018,-0.0033317973952602118,144,449523062
