ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
2721125,2721125,0,0
2721641,2721641,0,0
42894477,42894477,0,0
2725901,2725901,0,0
42894667,42894667,0,0
42894671,42894671,0,0
2725909,2725909,0,0
42894676,42894676,0,0
42894679,42894679,0,0
42894682,42894682,0,0
42894684,42894684,0,0
2725919,2725919,0,0
2725922,2725922,0,0
2725929,2725929,0,0
2725930,2725930,0,0
42894707,42894707,0,0
42894718,42894718,0,0
2725941,2725941,0,0
42894595,42894595,0,0
42894602,42894602,0,0
42894616,42894616,0,0
42894617,42894617,0,0
42894620,42894620,0,0
2725464,2725464,0,0
2725465,2725465,0,0
42894646,42894646,0,0
42894665,42894665,0,0
2785849,2785849,0,0
2785850,2785850,0,0
2785854,2785854,0,0
2787379,2787379,0,0
2787571,2787571,0,0
2787583,2787583,0,0
2787585,2787585,0,0
2787587,2787587,0,0
2788619,2788619,0,0
2788623,2788623,0,0
2786410,2786410,0,0
2786620,2786620,0,0
2786638,2786638,0,0
2001501,2001501,0,0
38004281,38004281,0,0
38004288,38004288,0,0
3170433,3170433,0,0
3190422,3190422,0,0
3173558,3173558,0,0
44511133,44511133,0,0
38003106,38003106,0,0
38003108,38003108,0,0
43018684,42894632,1,1
43018986,42894600,1,1
45768091,35614212,4,4
45768091,36714929,3,3
45768091,35614207,4,4
45768091,35614229,5,5
45768091,35614208,4,4
45768091,35614235,5,5
45768091,35614204,4,4
45768091,35614251,5,5
45768095,45758408,1,1
45768091,45758408,3,3
45768091,35614252,5,5
45768091,35614220,4,4
45768091,35607668,5,5
45768091,35614218,4,4
45768091,35614223,4,4
45768091,35614206,4,4
45890386,2110333,2,2
45889556,2313873,4,4
45890510,2110236,3,3
45889556,2313877,4,4
45887874,43527909,2,2
45889556,43527909,5,5
45875978,36032015,1,1
45889691,2313942,1,1
45889556,2313942,3,3
4082510,2787573,2,2
4155793,43533353,6,8
4346058,43533353,5,5
40485986,43533353,4,4
432586,4134874,1,1
432586,4099958,2,2
2806379,2785856,5,5
2827987,42894607,3,3
2827987,2725949,3,3
2806379,2786058,5,5
2785848,2786058,4,4
2806379,2786050,5,5
2785848,2786050,4,4
2785848,2786044,4,4
2806379,2786052,5,5
2827987,42894600,3,3
2806390,2786052,3,3
2827987,2725955,3,3
2785848,2785856,4,4
2806379,2786044,5,5
2785848,2786052,4,4
2827987,42894588,3,3
2827987,42894605,3,3
2868110,2788621,5,5
2861521,2725939,2,2
2879947,2725474,3,3
2887791,42894478,2,2
2879947,42894623,3,3
2879947,42894622,3,3
2861521,42894713,2,2
2881201,2788621,2,2
2879947,42894629,3,3
2892846,2725897,1,1
2859791,2786052,2,2
2879947,42894632,3,3
2887791,2725899,2,2
2887791,2725897,2,2
2886222,2785856,3,3
2879947,2725969,3,3
2848317,42894687,2,2
4028367,45766151,6,6
4004041,42894701,4,5
4004041,2725949,4,5
4004041,44809812,6,6
4027255,3661520,6,6
4025034,36714929,6,6
4029714,44809812,3,3
4004041,2725939,4,5
4004041,2725955,4,5
4004041,42894632,4,5
4027255,35611570,3,5
4004041,42894677,4,5
4004041,2725899,4,5
4027255,45766151,4,6
4004041,2725474,4,5
4004041,42894478,4,5
4025034,35614251,8,8
4004041,42894623,4,5
4004041,42894713,4,5
4027255,3661502,7,7
4004041,42894687,4,5
4025034,35614229,8,8
4025034,35614223,7,7
4028367,35611570,5,5
4027255,45766075,5,5
4025034,45758408,4,6
4025034,35614207,7,7
4025034,35607668,8,8
4025034,35614206,7,7
4004041,2725906,4,5
4028367,45766075,5,5
4004041,42894600,4,5
4004041,42894607,4,5
4025034,35614235,8,8
4004041,44511268,6,7
4028367,3661502,7,7
4025034,35614208,7,7
4025034,35614220,7,7
4004041,42894588,4,5
4004041,2725897,4,5
4028367,45766076,6,6
4025034,35614252,8,8
